lineNo,productId,productName,variantId,variantName,variantSku,imei,quantity,groupRef
"32","4e97e92527d19323c9f4535e","MSI Vector GP66 12UGS-267","a15a3139cea65f8cea63b1a3","","LAP-14926","35100000077142","4","GRP-013"
"33","4e97e92527d19323c9f4535e","MSI Vector GP66 12UGS-267","a15a3139cea65f8cea63b1a3","","LAP-14926","35100000077143","4","GRP-013"
"34","4e97e92527d19323c9f4535e","MSI Vector GP66 12UGS-267","a15a3139cea65f8cea63b1a3","","LAP-14926","35100000077144","4","GRP-013"
"35","090a29ffc1a0e4351f95c20b","ROKC ROKC Laptop","f1079daa6ba19b8c14da3d4d","","LAP-14455","35100000077145","2","GRP-014"
"36","090a29ffc1a0e4351f95c20b","ROKC ROKC Laptop","f1079daa6ba19b8c14da3d4d","","LAP-14455","35100000077146","2","GRP-014"
"37","93f54eae05d9f1a542e32110","ROKC ROKC Laptop","314fbf51c25df4fa69853efa","","LAP-11229","35100000077147","1","GRP-015"
"38","5a596334b6f9d2a29180b44e","Samsung Galaxy F34","c2830ad2bba60a08715955dd","","MOB-10144","35100000077148","2","GRP-016"
"39","5a596334b6f9d2a29180b44e","Samsung Galaxy F34","c2830ad2bba60a08715955dd","","MOB-10144","35100000077149","2","GRP-016"
"40","f886d700661457bc08a1aea0","ROKC ROKC Laptop","d454f990ca27f81f14a8a12f","","LAP-11206","35100000077150","1","GRP-017"
"41","e96ee0c1de006fb7190f1bfd","Generic MT17S Rough Shock Sport Outdoor Smart Watch","dafba5679becae8c46e902b8","","SW-16069","35100000077151","4","GRP-018"
"42","e96ee0c1de006fb7190f1bfd","Generic MT17S Rough Shock Sport Outdoor Smart Watch","dafba5679becae8c46e902b8","","SW-16069","35100000077152","4","GRP-018"
"43","e96ee0c1de006fb7190f1bfd","Generic MT17S Rough Shock Sport Outdoor Smart Watch","dafba5679becae8c46e902b8","","SW-16069","35100000077153","4","GRP-018"
"44","e96ee0c1de006fb7190f1bfd","Generic MT17S Rough Shock Sport Outdoor Smart Watch","dafba5679becae8c46e902b8","","SW-16069","35100000077154","4","GRP-018"
"45","ec58aeb0c6419aade41532cc","Dell Inspiron 3511 Laptop","a38988921d18e92aa438886c","","LAP-14334","35100000077155","4","GRP-019"
"46","ec58aeb0c6419aade41532cc","Dell Inspiron 3511 Laptop","a38988921d18e92aa438886c","","LAP-14334","35100000077156","4","GRP-019"
"47","ec58aeb0c6419aade41532cc","Dell Inspiron 3511 Laptop","a38988921d18e92aa438886c","","LAP-14334","35100000077157","4","GRP-019"
"48","ec58aeb0c6419aade41532cc","Dell Inspiron 3511 Laptop","a38988921d18e92aa438886c","","LAP-14334","35100000077158","4","GRP-019"
"49","891a7eaea3a7e565b4de74a4","HP HP Laptop","f8e85b4420f81b74ca3ef7c3","","LAP-13987","35100000077159","5","GRP-020"
"50","891a7eaea3a7e565b4de74a4","HP HP Laptop","f8e85b4420f81b74ca3ef7c3","","LAP-13987","35100000077160","5","GRP-020"
"51","891a7eaea3a7e565b4de74a4","HP HP Laptop","f8e85b4420f81b74ca3ef7c3","","LAP-13987","35100000077161","5","GRP-020"
"52","891a7eaea3a7e565b4de74a4","HP HP Laptop","f8e85b4420f81b74ca3ef7c3","","LAP-13987","35100000077162","5","GRP-020"
"53","891a7eaea3a7e565b4de74a4","HP HP Laptop","f8e85b4420f81b74ca3ef7c3","","LAP-13987","35100000077163","5","GRP-020"
"54","43f784a62fc532171f2880ad","Dell 5420","fd0a2b35ed0ddc6d1267718f","","LAP-12812","35100000077164","1","GRP-021"
"55","85d46afba1fb19b41898fea9","Boult Xpods Wireless Earphones","9850bb72a970dfa80a7575c9","","HP-15655","35100000077165","4","GRP-022"
"56","85d46afba1fb19b41898fea9","Boult Xpods Wireless Earphones","9850bb72a970dfa80a7575c9","","HP-15655","35100000077166","4","GRP-022"
"57","85d46afba1fb19b41898fea9","Boult Xpods Wireless Earphones","9850bb72a970dfa80a7575c9","","HP-15655","35100000077167","4","GRP-022"
"58","85d46afba1fb19b41898fea9","Boult Xpods Wireless Earphones","9850bb72a970dfa80a7575c9","","HP-15655","35100000077168","4","GRP-022"
"59","76ee5c4f5e3098fc802446b7","Dell Alienware m18 Laptop","75ab2c5995b9ddfa563155c1","","LAP-14850","35100000077169","5","GRP-023"
"60","76ee5c4f5e3098fc802446b7","Dell Alienware m18 Laptop","75ab2c5995b9ddfa563155c1","","LAP-14850","35100000077170","5","GRP-023"
"61","76ee5c4f5e3098fc802446b7","Dell Alienware m18 Laptop","75ab2c5995b9ddfa563155c1","","LAP-14850","35100000077171","5","GRP-023"
"62","76ee5c4f5e3098fc802446b7","Dell Alienware m18 Laptop","75ab2c5995b9ddfa563155c1","","LAP-14850","35100000077172","5","GRP-023"
"63","76ee5c4f5e3098fc802446b7","Dell Alienware m18 Laptop","75ab2c5995b9ddfa563155c1","","LAP-14850","35100000077173","5","GRP-023"
"64","cc621513557023a1e90e8092","Dell Latitude 7320 Laptop","8ae156e02fb05ed3581b17f0","","LAP-13318","35100000077174","2","GRP-024"
"65","cc621513557023a1e90e8092","Dell Latitude 7320 Laptop","8ae156e02fb05ed3581b17f0","","LAP-13318","35100000077175","2","GRP-024"
"66","038d858e6e97c8ab834ddbb5","Dell XPS 9520 Laptop","94ba07aad79f9667336bc2aa","","LAP-13762","35100000077176","4","GRP-025"
"67","038d858e6e97c8ab834ddbb5","Dell XPS 9520 Laptop","94ba07aad79f9667336bc2aa","","LAP-13762","35100000077177","4","GRP-025"
"68","038d858e6e97c8ab834ddbb5","Dell XPS 9520 Laptop","94ba07aad79f9667336bc2aa","","LAP-13762","35100000077178","4","GRP-025"
"69","038d858e6e97c8ab834ddbb5","Dell XPS 9520 Laptop","94ba07aad79f9667336bc2aa","","LAP-13762","35100000077179","4","GRP-025"
"70","f43d9dadf005d4b9d3e10782","HP HP Laptop","6eb2607378a59f1214013c52","","LAP-15143","35100000077180","3","GRP-026"
"71","f43d9dadf005d4b9d3e10782","HP HP Laptop","6eb2607378a59f1214013c52","","LAP-15143","35100000077181","3","GRP-026"
"72","f43d9dadf005d4b9d3e10782","HP HP Laptop","6eb2607378a59f1214013c52","","LAP-15143","35100000077182","3","GRP-026"
"73","98de714bf9b677d86d004985","HP HP Laptop","f998cb8b425ae8527baeac7b","","LAP-12802","35100000077183","1","GRP-027"
"74","16e05648bff4e91e2321bd73","HP HP 14 laptop","b3322d55d11d374cdc684742","","LAP-12009","35100000077184","5","GRP-028"
"75","16e05648bff4e91e2321bd73","HP HP 14 laptop","b3322d55d11d374cdc684742","","LAP-12009","35100000077185","5","GRP-028"
"76","16e05648bff4e91e2321bd73","HP HP 14 laptop","b3322d55d11d374cdc684742","","LAP-12009","35100000077186","5","GRP-028"
"77","16e05648bff4e91e2321bd73","HP HP 14 laptop","b3322d55d11d374cdc684742","","LAP-12009","35100000077187","5","GRP-028"
"78","16e05648bff4e91e2321bd73","HP HP 14 laptop","b3322d55d11d374cdc684742","","LAP-12009","35100000077188","5","GRP-028"
"79","3f0cde3d155b867933a4fc41","ROKC ROKC Laptop","209dc931cf058ca9256dbd83","","LAP-12304","35100000077189","1","GRP-029"
"80","c0b60441b9b0802b803299fd","Oppo A3x 4G","b31b38091bba1db1fb7a2570","","MOB-10343","35100000077190","4","GRP-030"
"81","c0b60441b9b0802b803299fd","Oppo A3x 4G","b31b38091bba1db1fb7a2570","","MOB-10343","35100000077191","4","GRP-030"
"82","c0b60441b9b0802b803299fd","Oppo A3x 4G","b31b38091bba1db1fb7a2570","","MOB-10343","35100000077192","4","GRP-030"
"83","c0b60441b9b0802b803299fd","Oppo A3x 4G","b31b38091bba1db1fb7a2570","","MOB-10343","35100000077193","4","GRP-030"
"84","4edddf1bcc63dd3405530143","HP HP Laptop","86127fd0fb3c06bb5128d1eb","","LAP-14336","35100000077194","2","GRP-031"
"85","4edddf1bcc63dd3405530143","HP HP Laptop","86127fd0fb3c06bb5128d1eb","","LAP-14336","35100000077195","2","GRP-031"
"86","92c17a452129d579bc2b1175","HP Elite Dragonfly G3","d2e4cc879dc577553d30a5cf","","LAP-11473","35100000077196","2","GRP-032"
"87","92c17a452129d579bc2b1175","HP Elite Dragonfly G3","d2e4cc879dc577553d30a5cf","","LAP-11473","35100000077197","2","GRP-032"
"88","30b0b27cb94bcfc9c5d0c4d5","Skullcandy s2dmw-p744","1ba671ef55f5c5f4ed30430d","","HP-15519","35100000077198","5","GRP-033"
"89","30b0b27cb94bcfc9c5d0c4d5","Skullcandy s2dmw-p744","1ba671ef55f5c5f4ed30430d","","HP-15519","35100000077199","5","GRP-033"
"90","30b0b27cb94bcfc9c5d0c4d5","Skullcandy s2dmw-p744","1ba671ef55f5c5f4ed30430d","","HP-15519","35100000077200","5","GRP-033"
"91","30b0b27cb94bcfc9c5d0c4d5","Skullcandy s2dmw-p744","1ba671ef55f5c5f4ed30430d","","HP-15519","35100000077201","5","GRP-033"
"92","30b0b27cb94bcfc9c5d0c4d5","Skullcandy s2dmw-p744","1ba671ef55f5c5f4ed30430d","","HP-15519","35100000077202","5","GRP-033"
"93","84ac72693d2527eb051e0eca","Dell Dell Precision 3561","19964c032ce2eea5f1948ab1","","LAP-13822","35100000077203","1","GRP-034"
"94","41343438cba6d8a8d6b7f6ca","HP HP Laptop","de8e87b5a104f01ee8dfc87f","","LAP-12426","35100000077204","4","GRP-035"
"95","41343438cba6d8a8d6b7f6ca","HP HP Laptop","de8e87b5a104f01ee8dfc87f","","LAP-12426","35100000077205","4","GRP-035"
"96","41343438cba6d8a8d6b7f6ca","HP HP Laptop","de8e87b5a104f01ee8dfc87f","","LAP-12426","35100000077206","4","GRP-035"
"97","41343438cba6d8a8d6b7f6ca","HP HP Laptop","de8e87b5a104f01ee8dfc87f","","LAP-12426","35100000077207","4","GRP-035"
"98","cc1a707d75bc7c83f2432caa","Samsung Galaxy Z Fold6","b116bd363962991b384c1113","","MOB-10929","35100000077208","3","GRP-036"
"99","cc1a707d75bc7c83f2432caa","Samsung Galaxy Z Fold6","b116bd363962991b384c1113","","MOB-10929","35100000077209","3","GRP-036"
"100","cc1a707d75bc7c83f2432caa","Samsung Galaxy Z Fold6","b116bd363962991b384c1113","","MOB-10929","35100000077210","3","GRP-036"
